"Date","Time","Test Total Time",
04/12/10,14:32:37,(hh:mm:ss): 5:15:16,
,,,
"Rated Capacity","Tested Capacity",,
1.60 Ah,1.31 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Seidio1600mAh_N1_0a_250mA",97,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",98,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",99,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",100,4.07,0.249
"Seidio1600mAh_N1_0a_250mA",101,4.07,0.249
"Seidio1600mAh_N1_0a_250mA",102,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",103,4.07,0.249
"Seidio1600mAh_N1_0a_250mA",104,4.07,0.248
"Seidio1600mAh_N1_0a_250mA",105,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",106,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",107,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",108,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",109,4.07,0.248
"Seidio1600mAh_N1_0a_250mA",110,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",111,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",112,4.07,0.248
"Seidio1600mAh_N1_0a_250mA",113,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",114,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",115,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",116,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",117,4.07,0.248
"Seidio1600mAh_N1_0a_250mA",118,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",119,4.07,0.248
"Seidio1600mAh_N1_0a_250mA",120,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",121,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",122,4.07,0.251
"Seidio1600mAh_N1_0a_250mA",123,4.07,0.249
"Seidio1600mAh_N1_0a_250mA",124,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",125,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",126,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",127,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",128,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",129,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",130,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",131,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",132,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",133,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",134,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",135,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",136,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",137,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",138,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",139,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",140,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",141,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",142,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",143,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",144,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",145,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",146,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",147,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",148,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",149,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",150,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",151,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",152,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",153,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",154,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",155,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",156,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",157,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",158,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",159,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",160,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",161,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",162,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",163,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",164,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",165,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",166,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",167,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",168,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",169,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",170,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",171,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",172,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",173,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",174,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",175,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",176,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",177,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",178,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",179,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",180,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",181,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",182,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",183,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",184,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",185,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",186,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",187,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",188,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",189,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",190,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",191,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",192,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",193,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",194,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",195,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",196,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",197,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",198,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",199,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",200,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",201,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",202,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",203,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",204,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",205,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",206,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",207,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",208,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",209,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",210,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",211,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",212,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",213,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",214,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",215,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",216,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",217,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",218,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",219,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",220,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",221,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",222,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",223,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",224,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",225,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",226,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",227,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",228,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",229,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",230,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",231,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",232,4.06,0.248
"Seidio1600mAh_N1_0a_250mA",233,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",234,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",235,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",236,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",237,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",238,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",239,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",240,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",241,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",242,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",243,4.06,0.251
"Seidio1600mAh_N1_0a_250mA",244,4.06,0.249
"Seidio1600mAh_N1_0a_250mA",245,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",246,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",247,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",248,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",249,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",250,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",251,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",252,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",253,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",254,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",255,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",256,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",257,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",258,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",259,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",260,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",261,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",262,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",263,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",264,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",265,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",266,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",267,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",268,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",269,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",270,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",271,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",272,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",273,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",274,4.05,0.251
