"Date","Time","Test Total Time",
06/12/10,01:12:26,(hh:mm:ss): 9:36:39,
,,,
"Rated Capacity","Tested Capacity",,
3.20 Ah,2.40 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Mugen_3200mAh_Hero_0a",104,4.07,0.251
"Mugen_3200mAh_Hero_0a",105,4.07,0.249
"Mugen_3200mAh_Hero_0a",106,4.07,0.251
"Mugen_3200mAh_Hero_0a",107,4.07,0.249
"Mugen_3200mAh_Hero_0a",108,4.07,0.248
"Mugen_3200mAh_Hero_0a",109,4.07,0.251
"Mugen_3200mAh_Hero_0a",110,4.07,0.251
"Mugen_3200mAh_Hero_0a",111,4.07,0.251
"Mugen_3200mAh_Hero_0a",112,4.07,0.248
"Mugen_3200mAh_Hero_0a",113,4.07,0.251
"Mugen_3200mAh_Hero_0a",114,4.07,0.251
"Mugen_3200mAh_Hero_0a",115,4.07,0.251
"Mugen_3200mAh_Hero_0a",116,4.07,0.248
"Mugen_3200mAh_Hero_0a",117,4.07,0.249
"Mugen_3200mAh_Hero_0a",118,4.07,0.251
"Mugen_3200mAh_Hero_0a",119,4.07,0.251
"Mugen_3200mAh_Hero_0a",120,4.07,0.248
"Mugen_3200mAh_Hero_0a",121,4.07,0.251
"Mugen_3200mAh_Hero_0a",122,4.07,0.251
"Mugen_3200mAh_Hero_0a",123,4.07,0.249
"Mugen_3200mAh_Hero_0a",124,4.07,0.249
"Mugen_3200mAh_Hero_0a",125,4.07,0.249
"Mugen_3200mAh_Hero_0a",126,4.07,0.251
"Mugen_3200mAh_Hero_0a",127,4.07,0.249
"Mugen_3200mAh_Hero_0a",128,4.07,0.251
"Mugen_3200mAh_Hero_0a",129,4.07,0.251
"Mugen_3200mAh_Hero_0a",130,4.07,0.251
"Mugen_3200mAh_Hero_0a",131,4.07,0.251
"Mugen_3200mAh_Hero_0a",132,4.07,0.249
"Mugen_3200mAh_Hero_0a",133,4.07,0.248
"Mugen_3200mAh_Hero_0a",134,4.07,0.251
"Mugen_3200mAh_Hero_0a",135,4.07,0.248
"Mugen_3200mAh_Hero_0a",136,4.07,0.251
"Mugen_3200mAh_Hero_0a",137,4.07,0.251
"Mugen_3200mAh_Hero_0a",138,4.07,0.251
"Mugen_3200mAh_Hero_0a",139,4.07,0.251
"Mugen_3200mAh_Hero_0a",140,4.07,0.248
"Mugen_3200mAh_Hero_0a",141,4.07,0.251
"Mugen_3200mAh_Hero_0a",142,4.07,0.251
"Mugen_3200mAh_Hero_0a",143,4.07,0.248
"Mugen_3200mAh_Hero_0a",144,4.07,0.251
"Mugen_3200mAh_Hero_0a",145,4.07,0.251
"Mugen_3200mAh_Hero_0a",146,4.07,0.251
"Mugen_3200mAh_Hero_0a",147,4.07,0.251
"Mugen_3200mAh_Hero_0a",148,4.07,0.251
"Mugen_3200mAh_Hero_0a",149,4.07,0.251
"Mugen_3200mAh_Hero_0a",150,4.07,0.249
"Mugen_3200mAh_Hero_0a",151,4.07,0.248
"Mugen_3200mAh_Hero_0a",152,4.07,0.251
"Mugen_3200mAh_Hero_0a",153,4.07,0.251
"Mugen_3200mAh_Hero_0a",154,4.07,0.251
"Mugen_3200mAh_Hero_0a",155,4.07,0.249
"Mugen_3200mAh_Hero_0a",156,4.07,0.251
"Mugen_3200mAh_Hero_0a",157,4.07,0.248
"Mugen_3200mAh_Hero_0a",158,4.07,0.249
"Mugen_3200mAh_Hero_0a",159,4.07,0.251
"Mugen_3200mAh_Hero_0a",160,4.07,0.251
"Mugen_3200mAh_Hero_0a",161,4.07,0.251
"Mugen_3200mAh_Hero_0a",162,4.07,0.248
"Mugen_3200mAh_Hero_0a",163,4.07,0.251
"Mugen_3200mAh_Hero_0a",164,4.07,0.251
"Mugen_3200mAh_Hero_0a",165,4.07,0.251
"Mugen_3200mAh_Hero_0a",166,4.07,0.248
"Mugen_3200mAh_Hero_0a",167,4.07,0.249
"Mugen_3200mAh_Hero_0a",168,4.07,0.251
"Mugen_3200mAh_Hero_0a",169,4.07,0.251
"Mugen_3200mAh_Hero_0a",170,4.07,0.248
"Mugen_3200mAh_Hero_0a",171,4.07,0.251
"Mugen_3200mAh_Hero_0a",172,4.07,0.251
"Mugen_3200mAh_Hero_0a",173,4.07,0.249
"Mugen_3200mAh_Hero_0a",174,4.07,0.248
"Mugen_3200mAh_Hero_0a",175,4.07,0.251
"Mugen_3200mAh_Hero_0a",176,4.07,0.251
"Mugen_3200mAh_Hero_0a",177,4.07,0.251
"Mugen_3200mAh_Hero_0a",178,4.07,0.248
"Mugen_3200mAh_Hero_0a",179,4.07,0.251
"Mugen_3200mAh_Hero_0a",180,4.07,0.251
"Mugen_3200mAh_Hero_0a",181,4.07,0.251
"Mugen_3200mAh_Hero_0a",182,4.07,0.249
"Mugen_3200mAh_Hero_0a",183,4.07,0.248
"Mugen_3200mAh_Hero_0a",184,4.07,0.251
"Mugen_3200mAh_Hero_0a",185,4.07,0.248
"Mugen_3200mAh_Hero_0a",186,4.07,0.251
"Mugen_3200mAh_Hero_0a",187,4.07,0.251
"Mugen_3200mAh_Hero_0a",188,4.07,0.251
"Mugen_3200mAh_Hero_0a",189,4.07,0.249
"Mugen_3200mAh_Hero_0a",190,4.07,0.248
"Mugen_3200mAh_Hero_0a",191,4.07,0.251
"Mugen_3200mAh_Hero_0a",192,4.07,0.249
"Mugen_3200mAh_Hero_0a",193,4.07,0.249
"Mugen_3200mAh_Hero_0a",194,4.07,0.251
"Mugen_3200mAh_Hero_0a",195,4.07,0.251
"Mugen_3200mAh_Hero_0a",196,4.07,0.251
"Mugen_3200mAh_Hero_0a",197,4.07,0.249
"Mugen_3200mAh_Hero_0a",198,4.07,0.251
"Mugen_3200mAh_Hero_0a",199,4.07,0.251
"Mugen_3200mAh_Hero_0a",200,4.07,0.249
"Mugen_3200mAh_Hero_0a",201,4.07,0.251
"Mugen_3200mAh_Hero_0a",202,4.07,0.251
"Mugen_3200mAh_Hero_0a",203,4.07,0.251
"Mugen_3200mAh_Hero_0a",204,4.07,0.251
"Mugen_3200mAh_Hero_0a",205,4.07,0.249
"Mugen_3200mAh_Hero_0a",206,4.07,0.251
"Mugen_3200mAh_Hero_0a",207,4.07,0.249
"Mugen_3200mAh_Hero_0a",208,4.07,0.248
"Mugen_3200mAh_Hero_0a",209,4.07,0.251
"Mugen_3200mAh_Hero_0a",210,4.07,0.251
"Mugen_3200mAh_Hero_0a",211,4.07,0.251
"Mugen_3200mAh_Hero_0a",212,4.07,0.249
"Mugen_3200mAh_Hero_0a",213,4.07,0.251
"Mugen_3200mAh_Hero_0a",214,4.07,0.251
"Mugen_3200mAh_Hero_0a",215,4.07,0.249
"Mugen_3200mAh_Hero_0a",216,4.07,0.248
"Mugen_3200mAh_Hero_0a",217,4.07,0.251
"Mugen_3200mAh_Hero_0a",218,4.07,0.251
